,0
"['generators', 'herc', 'platinum', 'pricing', 'schedule']",1417
"['glass', 'herc', 'installation', 'platinum', 'pricing', 'schedule']",2640
"['ground', 'herc', 'platinum', 'pricing', 'protection', 'schedule']",200
"['equipment', 'ground', 'herc', 'platinum', 'pricing', 'sc', 'support']",4415
"['herc', 'landscaping', 'platinum', 'pricing', 'schedule']",2358
"['equipment', 'herc', 'lighting', 'platinum', 'pricing', 'schedule']",2328
"['banks', 'herc', 'load', 'platinum', 'pricing', 'schedule']",2640
"['graders', 'herc', 'motor', 'platinum', 'pricing', 'schedule']",1840
"['equipment', 'herc', 'paving', 'platinum', 'pricing', 'schedule']",6546
"['distribution', 'herc', 'platinum', 'power', 'pricing', 'schedule']",2323
"['accessories', 'herc', 'platinum', 'pricing', 'pumps', 'schedul']",1674
"['accessories', 'herc', 'platinum', 'pricing', 'saws', 'schedule']",5540
"['herc', 'platinum', 'pricing', 'scaffolding', 'schedule']",4983
"['accessories', 'air', 'herc', 'platinum', 'pri', 'small', 'tools']",7687
"['accessories', 'air', 'herc', 'plat', 'small', 'tools', 'tools']",7687
"['drill', 'equipment', 'herc', 'plat', 'small', 'tools', 'tools']",766
"['electrical', 'equipment', 'herc', 'platinum', 'small', 'tools']",4120
"['equipment', 'grinding', 'herc', 'p', 'planing', 'small', 'tools']",766
"['hand', 'herc', 'platinum', 'pricing', 'sc', 'small', 'tools', 'tools']",6261
"['equipment', 'herc', 'hoist', 'lifting', 'plat', 'small', 'tools']",1245
"['accessories', 'herc', 'impact', 'small', 'tools', 'wrenches']",766
"['herc', 'ladders', 'platinum', 'pr', 'scaffold', 'small', 'tools']",1245
"['herc', 'miscellaneous', 'platinum', 'pricing', 'small', 'tools']",4120
"['equipment', 'herc', 'piping', 'platinum', 'pric', 'small', 'tools']",3695
"['equipment', 'herc', 'plat', 'sanding', 'small', 'tools', 'tools']",7711
"['herc', 'platinum', 'pricing', 'schedule', 'storage', 'trailers']",398
"['herc', 'platinum', 'pricing', 'schedule', 'surveillance']",164
"['herc', 'platinum', 'pricing', 'safety', 'schedule', 'traffic']",6261
"['equipment', 'herc', 'platinum', 'pricing', 'schedul', 'trenching']",196
"['herc', 'platinum', 'pricing', 'schedule', 'trolleys']",422
"['accessories', 'herc', 'platinum', 'pricing', 'schedu', 'trucks']",3034
"['box', 'dump', 'flatbed', 'flatstake', 'trucks', 'utility', 'wa']",138
"['carts', 'herc', 'platinum', 'pricing', 'utility', 'vehicles']",915
"['herc', 'pickup', 'plati', 'suvs', 'trucks', 'vans', 'vehicles']",5826
"['accessories', 'herc', 'p', 'platinum', 'trailers', 'vehicles']",4294
"['elding', 'equipment', 'herc', 'platinum', 'pricing', 'schedule']",5540
"['delivery', 'herc', 'platinum', 'pricing', 'schedule']",2179
"['fuel', 'herc', 'platinum', 'pricing', 'schedule']",3840
"['herc', 'platinum', 'pricing', 'schedule', 'training']",2750
"['charges', 'damage', 'herc', 'platinum', 'pricing', 'schedule']",4955
"['gps', 'herc', 'platinum', 'pricing', 'schedule']",1037
"['herc', 'loss', 'platinum', 'pricing', 'schedule', 'use']",8065
"['cleaning', 'herc', 'platinum', 'pricing', 'schedule']",2760
"['fees', 'herc', 'platinum', 'pricing', 'schedule', 'set']",200
"['charges', 'herc', 'hours', 'meterallotted', 'p', 'platinum']",3644
"['double', 'herc', 'platinum', 'pricing', 'sc', 'shifts', 'triple']",4547
"['charges', 'herc', 'mileage', 'platinum', 'pricing', 'schedule']",4955
"['automatic', 'circuit', 'device', 'enabler', 'shutdown', 'str']",4846
"['4', 'ct', 'current', 'model', 'sentran', 'transformer']",6257
"['battery', 'device', 'loader', 'loading', 'power', 'used']",7995
"['clear', 'flat', 'glass', 'laminated', 'oem', 'plate', 'safety']",28
"['flat', 'glass', 'laminated', 'oem', 'plate', 'safety', 'tinted']",944
"['clear', 'flat', 'glass', 'laminated', 'oem', 'safety', 'sheet']",944
"['flat', 'glass', 'laminated', 'oem', 'safety', 'sheet', 'tinted']",944
"['auto', 'domestic', 'glass', 'oem', 'tin', 'truck', 'windshield']",238
"['curved', 'domestic', 'except', 'glass', 'oem', 'tin', 'windshield']",1339
"['essexsika.', 'glass', 'installation', 'kits', 'use']",1696
"['essexsika', 'glass', 'installation', 'urethane', 'use']",1696
"['covered', 'items', 'miscellaneous', 'not']",6807
"['labor', 'regular', 'repairinstallation', 'time.']",202
"['labor', 'labor', 'overtime', 'pe', 'repairinstallation']",776
"['glass.', 'precut', 'time', 'travel']",422
"['errors', 'ordering', 'orders', 'special', 'time', 'travel']",3501
"['24hour', 'emergency', 'repair', 'replacemen', 'service']",5324
"['10', '4.8kv', 'amperes', 'distribu', 'fuse', 'link', 't', 'type']",3113
"['15', '4.8kv', 'amperes', 'distribu', 'fuse', 'link', 't', 'type']",3113
"['20', '4.8kv', 'amperes', 'distribu', 'fuse', 'link', 't', 'type']",3113
"['30', '4.8kv', 'amperes', 'distribu', 'fuse', 'link', 't', 'type']",3113
"['4.8kv', '40', 'amperes', 'distribu', 'fuse', 'link', 't', 'type']",3222
"['4.8kv', '50', 'amperes', 'distribu', 'fuse', 'link', 't', 'type']",3113
"['4.8kv', '80', 'amperes', 'distribu', 'fuse', 'link', 't', 'type']",3222
"['100', '4.8kv', 'amperes', 'distrib', 'fuse', 'link', 't', 'type']",3876
"['bayonettype', 'current', 'fieldre', 'fuse', 'link', 'sensing']",2111
"['5kv', '65a', 'fuse', 'helica', 'indicating', 'link', 'sytle']",32
"['5kv', '65a', 'coiled', 'f', 'fuse', 'helical', 'link', 'silver']",1186
"['batteries', 'chargers', 'cord', 'cordless', 'par', 'tools']",303
"['batteries', 'chargers', 'cord', 'cordless', 'tools']",303
"['brand', 'milwaukee', 'parts', 'replacement', 'service']",1782
"['100%', 'biodegradable', 'cleaner', 'degreaser', 'nontoxi']",1361
"['4ru', 'empty', 'fiber', 'panel', 'patch', 'termination', 'xpre']",4089
"['compo', 'components', 'extinguisher', 'fire', 'portable']",3072
"['antennas', 'commscopeandrew', 'e', 'microwave', 'radomes']",2308
"['accessories', 'connectors', 'elliptical', 'waveguide']",2271
"['commscopeandrew', 'components', 'ecatalog', 'i', 'waveguide']",1096
"['commscopeandrew', 'ecatalog', 'pressurization', 'products']",6183
"['cable', 'commscopeandrew', 'connectors', 'ecatalog', 'heliax']",2675
"['accessories', 'cable', 'coaxial', 'commscopeandrew', 'heliax']",1099
"['andrew', 'ecatalog', 'inbuilding', 'passive', 'products']",312
"['cable', 'coax', 'commscopeand', 'heliax', 'line', 'transmission']",201
"['andrew', 'commscopeandre', 'hardware', 'line', 'transmission']",1306
"['commscopeandrew', 'ecatalog', 'hardware', 'misc', 'tower']",1958
"['corporation', 'lightning', 'p', 'polyphaser', 'protection', 'rf']",2965
"['base', 'frequency', 'mobile', 'radio', 'radio', 'rfs', 'systems']",856
"['carrier', 'charge', 'common', 'delivery', 'freight', 'service']",1782
"['electrical', 'insulator', 'porcelain', 'process', 'process']",490
"['collection', 'monthly', 'removal', 'rubbish', 'serv', 'waste']",7515
"['dump', 'o', 'off', 'removal', 'return', 'roll', 'rubbish', 'services']",6275
"['dump', 'exceeding', 'fee', 'maxi', 'overweight', 'requiered']",343
"['dump', 'exceeding', 'fee', 'maximum', 'requiered', 'ton']",7279
"['cost', 'dump', 'e', 'fees', 'miscellaneous', 'net', 'requiered']",4385
"['20', '40yard', 'containe', 'day', 'rental', 'rolloff']",5245
"['20', '40yard', 'dump', 'fee', 'requiered', 'ro', 'ton']",623
"['2.5', '61', 'cartridge', 'certified', 'diameter', 'filters', 'nsf']",58
"['allpurpose', 'cleaner', 'concentrated', 'deg', 'industrial']",8433
"['cleaner', 'liquid', 'nonabrasive', 'spray', 'wipe']",548
"['apply', 'cleaner', 'liquid', 'nonabrasive', 'wipe']",414
"['18', '36', '36', 'blanket', 'inch', 'inch', 'inch', 'linemans', 's', 'x', 'x']",4283
"['2', 'console', 'console', 'enterprise', 'ex', 'scout', 'scout', 'tier']",2852
"['dual', 'factor', 'form', 'nics', 'pc', 'small', 'solid', 'state']",2688
"['16x9', '21.5inch', 'console', 'forma', 'led', 'pc', 'screen', 'touch']",1526
"['avtec', 'box', 'headsethandset', 'jack', 'jack', 'single', 'usb']",4935
"['15feet', '6w', 'black', 'cord', 'handset', 'model', 'number', 'ptt']",5313
"['ac', 'cradle', 'desktop', 'handset', 'model', 'number', 'wired']",811
"['avtec', 'desk', 'medi', 'microphone', 'ptt', 'scout', 'software', 'usb']",7985
"['accessory', 'footswitch', 'media', 'ptt', 'software', 'usb', 'wor']",782
"['including', 'indicator', 'package', 'power', 'ringinuse', 'supp']",4246
"['4', 'c', 'form', 'kit', 'medi', 'relay', 'relays', 'software', 'usb']",1844
"['10', 'accusb', 'hub', 'model', 'number', 'port', 'usb', 'usb3.0.']",5717
"['license', 'maximum', 'redundant', 'software', 'vpgate']",744
"['ava', 'enables', 'high', 'license', 'supplementary', 'vpgate']",1237
"['endpoint', 'license', 'p25', 'require', 'supplementary', 'vpgate']",2083
"['1u', 'computer', 'including', 'industrial', 'soli', 'windows']",492
"['12vdc', '2', 'controller', 'input', 'mo', 'ports', 'radio', 'voip']",2055
"['add', 'kit', 'mobile', 'outpost', 'radio', 'support', 'tait', 'wit']",7578
"['cisco', 'initiation', 'protocol', 'session', 'sip', 'telephony']",3511
"['72', 'aluminum', 'clear', 'finish', 'i', 'rack', 'relay', 'twopost']",8297
"['acccpurm2012', 'kit', 'mount', 'ps12v3bayac', 'rack']",1969
"['1u', 'display', 'folding', 'includes', 'k', 'lcd', 'rack.', 'relay']",1067
"['14', '3u', '3u', 'holds', 'mount', 'outposts', 'plus', 'r', 'rack', 'shelf']",1112
"['annual', 'maintenance', 'scoutcare', 'software', 't1', 'tec']",4549
"['annual', 'hardware', 'maintenance', 'pri', 'scoutcare']",2747
"['maintenance', 'scoutcare', 'software', 't1', 'technical']",2698
"['hardware', 'hardware', 'maintenance', 'scoutcare', 'thr']",1604
"['building', 'd', 'screen', 'site', 'survey', 'system', 'workshop']",4307
"['management', 'project', 'stagingconfiguratio', 'system']",2490
"['cutover', 'installation', 'onsite', 'technical', 'textin']",2182
"['inclusive', 'material', 'onsite', 'operator', 't', 'training']",3236
"['custom', 'development', 'dispatch', 'manuals', 'operator']",2110
"['administration', 'certif', 'installation', 'technical']",4036
"['amount', 'consultative', 'network', 'not', 'services']",2612
"['avtec', 'charges', 'freight', 'including', 'insurance', 'shal']",3690
"['att', 'hardware', 'services', 'software', 'training']",2750
"['automotive', 'clas', 'equipment', 'log', 'parts']",489
"['6', 'enclosure', 'stationtype', 'tapbox', 'transformer']",7011
"['8', 'depot', 'expedited', 'one', 'plan', 'service', 'ta', 'year']",8430
"['1', '10367400', '1405', 'ext', 'fus', 'kit', 'maintenance', 'peqty']",597
"['1405', '1405', '59010990', 'consumables', 'kit', 'pkg', 'q', 'spares']",656
"['charge', 'estimated', 'kits', 'parts', 'shipping', 'spare', 't']",7713
"['#4120', 'assemblies', 'barrel', 'dewalch', 'lock', 'ring']",653
"['35degree', 'bend', 'cuttingtip']",7117
['cuttingtip'],648
"['65degree', 'bend', 'weldingnozzle']",4030
"['cable', 'connector', 'female', 'male', 'welding']",3850
"['cable', 'connector', 'malehalf', 'welding', 'whip']",1515
"['electrode', 'holder', 'shortstub', 'welding']",247
"['rollformed', 'spiraltip', 'tipcleaner', 'welding']",2186
"['ferrocerium', 'flint', 'flint', 'renewal', 'single']",2988
"['friction', 'gastorch', 'lighter', 'sparkflint']",3546
"['flint', 'renewal', 'singleflint']",2490
"['filterlens', 'plate', 'weldershelmetgoggles']",4040
"['2inch', 'filterlens', 'plate', 'weldershelmetgoggles']",4040
"['2inch', 'coverlens', 'plate', 'weldershelmetgoggles', 'x']",1052
"['arcsteel', 'aws', 'class', 'e7018', 'rod', 'welding']",4837
"['#e7018', 'arcsteel', 'aws', 'class', 'furnis', 'rod', 'welding']",4837
"['#e7024.', 'arcsteel', 'aws', 'class', 'rod', 'welding']",4837
"['#e6010.', 'arcsteel', 'aws', 'class', 'rod', 'welding']",4837
"['#e7018', 'arcsteel', 'aws', 'class', 'rod', 'welding']",4837
"['20#foot', 'length', 'manned', 'minimum', 'powerboat']",2545
"['25foot', '4', 'knots', 'm', 'manned', 'minimum', 'speed', 'workboat']",477
"['14foot', 'length', 'minimum', 'skiff', 'unmanned', 'use']",829
"['150', '300', '500', 'fee', 'feet', 'gpm', 'jet', 'pump']",6305
"['100', '200', '6inch', 'air', 'lift', 'psi', 'scfm']",1226
"['accessories', 'camera', 'fil', 'include', 'underwater']",697
"['accessories', 'camera', 'inc', 'underwater', 'video']",1878
"['remotel', 'rov', 'selfpropelled', 'underwater', 'vehicle']",3806
"['compressor', 'diving', 'max', 'service', 'shallow', 'water']",7004
"['compressor', 'deep', 'diving', 'maximu', 'service', 'water']",7004
"['cutting', 'gen', 'including', 'torch', 'underwater', 'welding']",1215
"['cutting', 'eac', 'rod', 'underwater', 'welding']",7166
"['air', 'chamber', 'compressor', 'decompression', 'including']",2406
"['12inch', 'diameter', 'polypropylene', 'pric', 'rope']",2285
"['38inch', 'diameter', 'manila', 'polypropylene', 'rope']",2583
"['drill', 'hydraulic', 'minimum', 'oneday', 'time', 'u']",287
"['hydraulic', 'impact', 'minimum', 'oneday', 'time']",287
"['chain', 'hydraulic', 'minimum', 'oneday', 'saw', 'time']",287
"['grinder', 'hydraulic', 'minimum', 'oneday', 'time']",287
"['drill', 'electric', 'minim', 'oneday', 'pneumatic']",786
"['electric', 'impact', 'mini', 'oneday', 'pneumatic']",16
"['chain', 'electric', 'm', 'oneday', 'pneumatic', 'saw']",2438
"['3', 'nonclog', 'pump', 'selfpriming', 'wastewater']",400
"['5000', 'di', 'hydroblaster', 'minimum', 'psi', 'rating', 't']",3891
"['crane', 'crane', 'dock', 'opera', 'regular', 'shipboard', 'time']",1390
"['crane', 'crane', 'dock', 'operator', 'overtime', 'shipboard']",7153
"['cra', 'crane', 'dock', 'holidays', 'shipboard', 'sundays']",2110
"['8hour', 'diver', 'enters', 'mi', 'regular', 'time', 'water']",907
"['additional', 'diver', 'enters', 'regular', 'time', 'water']",3569
"['8', 'diver', 'does', 'enter', 'not', 'regular', 'time', 'water']",2943
"['additional', 'diver', 'does', 'enter', 'not', 'regular', 'time', 'wate']",3911
"['diver', 'enters', 'hour', 'overtime', 'water']",907
"['additional', 'diver', 'enters', 'overtime', 'pri', 'water']",4729
"['diver', 'does', 'enter', 'not', 'overtime', 'water']",907
"['additional', 'diver', 'does', 'enter', 'f', 'not', 'overtime', 'water']",4729
"['diver', 'enters', 'holidays', 'pr', 'sundays', 'water']",8318
"['additional', 'diver', 'enters', 'holidays', 'sundays', 'wate']",546
"['diver', 'does', 'enter', 'holidays', 'not', 'sundays', 'water']",8318
"['additional', 'diver', 'does', 'en', 'holidays', 'not', 'sundays']",8430
"['100', '51', 'additional', 'depth', 'feet', 'feet', 'foot']",45
"['101', '150', 'additional', 'depth', 'feet', 'feet', 'foot']",3975
"['151', '220', 'additional', 'depth', 'feet', 'feet', 'foot']",2202
"['221', 'additional', 'deeper', 'depth', 'feet', 'foot']",4076
"['5', '50', 'additional', 'entrance', 'feet', 'feet']",3612
"['100', '51', 'addition', 'entrance', 'feet', 'feet']",3249
"['101', '150', 'additio', 'entrance', 'feet', 'feet']",3909
"['151', '200', 'additio', 'entrance', 'feet', 'feet']",5052
"['201', 'additio', 'entrance', 'feet', 'greater']",2434
"['additional', 'charge', 'jobsite', 'subsistence', 'when']",436
"['13160', 'bouquet', 'canyon', 'reservoir', 'road', 'saugu', 'spunky']",580
"['2460', 'angele', 'drive', 'holly', 'hollywood', 'los', 'reservoirs']",2070
"['1680', 'canyon', 'canyon', 'drive', 'reservoirs', 'stone', 'stone']",3828
"['15', 'angeles', 'bypass', 'los', 'reservoir', 'reservoir']",2396
"['1300', 'beverly', 'canyon', 'd', 'franklin', 'lower', 'n.', 'reservoir']",1588
"['4500', 'angeles', 'avenue', 'encino', 'encino', 'los', 'reservoir']",1360
"['1301', 'ang', 'blue', 'eagle', 'hill', 'los', 'reservoir', 'road', 'rock']",7436
"['2700', 'ave', 'ivanhoe', 'lake', 'reservoirs', 'silver', 'tesla']",4524
"['25', '395', 'approximately', 'crowley', 'highway', 'm', 'reservoir']",640
"['drive', 'echo', 'elysian', 'elysian', 'park', 'park', 'reservoir']",446
"['avenue', 'c', 'city', 'fairmont', 'h', 'lancaster', 'reservoir']",6804
"['158', '395', 'grant', 'highway', 'highway', 'lake', 'reservoir']",2769
"['10310', 'boulevard', 'green', 'reservoir', 'sunland', 'verdugo']",603
"['395', '80', 'approximately', 'haiwee', 'highway', 'mi', 'reservoir']",1583
"['395', 'approximat', 'highway', 'pleasant', 'reservoir', 'valley']",1523
"['1351', 'drive', 'pacifi', 'palisades', 'reservoir', 'santa', 'ynez']",3579
"['18', '395', 'approximately', 'highway', 'reservoir', 'tinemaha']",3942
"['37700', 'ca', 'castaic', 'castaic', 'highway', 'lake', 'templin']",1195
"['6001', 'drive', 'forest', 'headworks', 'lawn', 'los', 'reservoir']",1360
"['automotive', 'current', 'lin', 'napa', 'parts', 'pro', 'truck']",8149
"['components', 'digital', 'microwave', 'parts', 'system', 'various']",4307
"['labor', 'location', 'pricing', 'quot', 'repair', 'vendor']",7783
"['allowed.', 'charge', 'markup', 'no', 'shipping']",7993
"['$200', 'component.', 'expedite', 'f', 'fee', 'optional']",6826
"['briggs', 'engines', 'generator', 'parts', 'repair', 'stra']",6546
"['engines', 'generator', 'honda', 'latest', 'parts', 'repair']",5437
"['extingui', 'fire', 'hydrostatic', 'ladwp', 'owned', 'testing']",2498
"['annual', 'fir', 'inspection', 'ladwp', 'owned', 'service', 'test']",5495
"['fire', 'inspection', 'owned', 'p', 'service', 'testingladwp']",1500
"['annual', 'inspection', 'ladwp', 'owned', 'service', 'test']",3520
"['fire', 'inspection', 'ladwp', 'owned', 'service', 'testing']",3520
"['inspection', 'ladw', 'semiannual', 'service', 'testing']",4256
"['annual', 'inspection', 'ladwp', 'ow', 'service', 'testing']",3520
"['annual', 'inspection', 'ladwp', 'own', 'service', 'testing']",3520
"['inspection', 'ladwp', 'quarterly', 'service', 'testing']",3520
"['charge', 'fire', 'labor', 'protection', 'service', 'service']",7154
"['charge', 'da', 'fire', 'labor', 'protection', 'service']",3089
"['inspection', 'ladwp', 'semiannual', 'service', 'testing']",3520
"['fire', 'hydrostatic', 'ladwp', 'owned', 'testing', 'wheeled']",7772
"['561499', '8601001', 'code', 'matl', 'naics', 'services', 'un']",529
"['analysis', 'coordinati', 'frequency', 'microwave', 'services']",4316
"['coordination', 'first', 'notice', 'notices', 'paths', 'prior']",2236
"['additional', 'coordination', 'notice', 'notices', 'pat', 'prior']",863
"['house', 'propagation', 'services', 'site.', 'stu', 'study']",1506
"['1', 'deliverab', 'frequency', 'protection', 'services', 'year.']",3656
"['1.1', '1.3', 'd', 'formwork', 'nos', 'rental', 'system.']",3828
"['e', 'foot', 'formwork', 'rental', 'square', 'system.']",244
"['charge', 'delivery', 'formwork', 'imperial', 'meva', 'sy', 'wall']",3042
"['charge', 'formwork', 'imperial', 'meva', 'pickup', 'syst', 'wall']",3702
"['4.1', '4.3', 'items', 'miscellaneous', 'nos', 'supple']",4257
"['miscellaneous', 'month.', 'p']",50
"['miscellaneous', 'pe', 'week.']",2196
"['day.', 'miscellaneous']",765
"['charge', 'delivery', 'items', 'mev', 'miscellaneous']",7869
"['charge', 'impe', 'items', 'meva', 'miscellaneous', 'pickup']",765
"['9000', 'by', 'certif', 'drawings', 'engineered', 'iso', 'layout.']",5345
"['by', 'drawings', 'engineered', 'iso', 'layout.', 'revision']",5345
"['5', 'air', 'fiberglass', 'filter', 'merv', 'tackifier']",7834
"['frame', 'metal', 'wgalvanized']",7834
"['disposable', 'filter', 'high', 'panel', 'velocity']",517
"['filter', 'high', 'pleated']",3663
"['fiberglass', 'filter', 'media', 'pad', 'precut']",1058
"['air', 'disposable', 'fiberglass', 'filter', 'media']",4894
"['air', 'cotton', 'disposable', 'filter', 'pleated']",4894
"['air', 'disposeable', 'filter', 'frame', 'pinch']",6226
"['disposable', 'fiberglass', 'filters', 'type']",1163
"['farr', 'filter', 'frame', 'media', 'pad', 'type', 'without']",1456
"['air', 'disposable', 'fiberglass', 'filter']",4894
"['diamond', 'filter', 'high', 'pleat', 'pleated']",6226
"['arrestor', 'filter', 'pad', 'paint', 'paint', 'pockets']",1710
"['air', 'extended', 'filter', 'high', 'performance']",4990
"['air', 'disposable', 'filter', 'pleated']",2693
"['14inches', '1inch', '30inches', 'air', 'filters', 'x', 'x']",3753
"['annual', 'maintenance', 'period', 'software', 'support']",6051
"['american', 'apt', 'pneumatic', 'pneumatic', 'tools', 'tools']",303
"['american', 'apt', 'hydraulic', 'pneumatic', 'tools', 'tools']",303
"['accessories', 'american', 'kits', 'pne', 'repair', 'service']",368
"['bosch', 'brand.', 'corded', 'cordless', 'power', 'tools']",8597
"['accessories', 'bosch', 'brand.', 'power', 'tools']",8597
"['attachments', 'bosch', 'brand.', 'power', 'tools']",1409
"['brand.', 'chicago', 'pneumatic', 'pneumatic', 'tools']",429
"['br', 'chicago', 'cordless', 'electric', 'pneumatic', 'tools']",303
"['chicago', 'construction', 'equipment', 'pneumatic', 'tools']",7372
"['bra', 'chicago', 'equipment', 'pneumatic', 'tools', 'workshop']",1409
"['brand.', 'powerdewalt', 'tools']",4144
"['accessories', 'brand.', 'dewalt']",1409
"['brand.', 'dewalt', 'hand', 'tools']",429
"['brand.', 'dewalt', 'equipment', 'gear', 'tools']",303
"['brand.', 'care', 'husqvarna', 'saws', 'tools', 'tree']",7010
"['accessories', 'brand.', 'husqvarna']",1409
"['cutters', 'diamond', 'equ', 'gas', 'ics', 'power', 'tools', 'tools']",458
"['cutters', 'diamond', 'hydraulic', 'ics', 'power', 'tools', 'tools']",786
"['cutters', 'diamond', 'ics', 'pneumatic', 'power', 'tools', 'tools']",489
"['cutters', 'cutting', 'diamond', 'ics', 'pipe', 'power', 'tools']",6211
"['chains', 'diamond', 'diamond', 'equipm', 'ics', 'tools', 'tools']",7953
"['accessories', 'diamond', 'equipmen', 'ics', 'parts', 'tools']",7669
"['brand.', 'makita', 'power', 'tools']",3066
"['accessories', 'brand.', 'makita']",1409
"['brand.', 'hpt', 'metabo', 'tools']",4144
"['accessories', 'brand.', 'hpt', 'metabo']",1409
"['brand.', 'equipment', 'hpt', 'metabo', 'outdoor', 'tools']",429
"['brand.', 'milwaukee', 'power', 'tools']",8597
"['brand.', 'equipment', 'milwaukee', 'outdoor', 'power', 'tools']",303
"['batteries', 'brand.', 'chargers', 'milwaukee']",30
"['brand.', 'hand', 'milwaukee', 'tools']",6539
"['accessories', 'brand.', 'milwaukee']",303
"['brand', 'compaction', 'includes', 'multiquip', 'ra', 'tools']",2263
"['bra', 'concrete', 'finishing', 'multiquip', 'screeds', 'tools']",7887
"['brand', 'generators', 'includes', 'multiquip', 'whisperwa']",701
"['blades', 'brand', 'diamond', 'includes', 'multiquip', 'segme']",1306
"['brand.', 'power', 'skil', 'tools']",8597
"['bench', 'brand.', 'skil', 'tools']",1409
"['batteries', 'brand.', 'chargers', 'skil']",30
"['accessories', 'brand.', 'skil']",1409
"['boxes', 'brand.', 'job', 'knaack']",2458
"['boxes', 'brand.', 'guard', 'tools', 'weather']",4855
"['by', 'construction', 'covered', 'miscellaneous', 'not', 'supplies']",6812
"['charges', 'emergancy', 'freight', 'inbound', 'overnight']",5532
"['charge', 'items', 'order', 'restocking', 'special']",3626
"['accessories', 'bosch', 'bosch', 'brand.', 'power', 'tools']",7953
"['attachments', 'bosch', 'bosch', 'brand.', 'power', 'tools']",4246
"['brand.', 'dewalt', 'lis', 'powerdewalt', 'tools']",2263
"['accessories', 'brand.', 'dewalt', 'dewalt', 'lis']",7010
"['brand.', 'dewalt', 'dewalt', 'hand', 'lis', 'tools']",429
"['brand.', 'dewal', 'dewalt', 'equipment', 'gear', 'tools']",303
"['accessories', 'brand.', 'husqvarna', 'husqvarna', 'pri']",1409
"['2020', 'brand.', 'makita', 'makita', 'power', 'pric', 'tools']",7585
"['2020', 'accessories', 'brand.', 'makita', 'makita', 'pric']",7585
"['brand.', 'hpt', 'hpt', 'l', 'metabo', 'metabo', 'tools']",7010
"['accessories', 'brand.', 'hpt', 'hpt', 'metabo', 'metabo', 'p']",2263
"['20', 'brand.', 'milwaukee', 'milwaukee', 'power', 'tools']",630
"['batteries', 'brand.', 'chargers', 'milwa', 'milwaukee']",7958
"['202', 'brand.', 'hand', 'milwaukee', 'milwaukee', 'tools']",6539
"['202', 'accessories', 'brand.', 'milwaukee', 'milwaukee']",303
"['2020', 'brand.', 'l', 'power', 'skil', 'skil', 'tools']",998
"['2020', 'bench', 'brand.', 'l', 'skil', 'skil', 'tools']",998
"['2020', 'batteries', 'brand.', 'chargers', 'skil', 'skil']",998
"['2020', 'accessories', 'brand.', 'li', 'skil', 'skil']",998
"['2020', 'boxes', 'brand.', 'job', 'knaack', 'knaack']",30
"['boxes', 'brand.', 'g', 'guard', 'tools', 'weather', 'weather']",4855
"['2021', 'brand.', 'makita', 'makita', 'power', 'pric', 'tools']",7585
"['2021', 'accessories', 'brand.', 'makita', 'makita', 'pric']",7585
"['2021', 'brand.', 'l', 'power', 'skil', 'skil', 'tools']",998
"['2021', 'bench', 'brand.', 'l', 'skil', 'skil', 'tools']",998
"['2021', 'batteries', 'brand.', 'chargers', 'skil', 'skil']",998
"['2021', 'accessories', 'brand.', 'li', 'skil', 'skil']",998
"['2021', 'boxes', 'brand.', 'job', 'knaack', 'knaack']",30
"['12inch', 'assembly', 'bracket', 'cable', 'hanger']",131
"['15inch', 'assembly', 'bracket', 'cable', 'hanger']",156
"['34.5', 'assembly', 'cable', 'furni', 'kv', 'stanchion', 'wall']",1723
"['34.5', 'cable', 'cable.', 'extension', 'hanger', 'kv']",5149
"['galvanized', 'left', 'leg', 'one', 'one', 'ri', 'set', 'steel']",155
"['approxim', 'control', 'corrosion', 'inhibitor', 'rust']",1341
"['55gallon', 'acid', 'acid', 'drum', 'one', 'sulfuric', 'week.']",1801
"['12.5%', 'contains', 'hypochlorite', 'sodium', 'solution']",4020
"['55gallon', 'credit', 'deposit.', 'drum', 'if', 'ret', 'returnable']",3054
"['55gallon', 'drum', 'fee.', 'returnable', 'wash']",3412
"['envelopes', 'inserting', 'machine', 'services', 'stuffing']",1164
"['envelopes', 'hand', 'inserting', 's', 'services', 'stuffing']",2649
"['binders', 'boxes', 'folders', 'hand', 'inserting', 'services']",2649
"['folding', 'machine', 'mailing', 'sheet', 'siz', 'stuffing']",7700
"['cards', 'envelopes.', 'labeled', 'labeled', 'matching', 'tab']",3168
"['affixing', 'seals.', 'wafer']",625
"['convert', 'files', 'output.']",1398
"['output.', 'presort', 'standardize']",8002
"['inkjet', 'labels', 'mailing', 'onto', 'output', 'piece.']",4519
"['address', 'affixing', 'kept', 'labels', 'labels.', 'machine']",5572
"['address', 'affixing', 'hand', 'kept', 'labels', 'labels.']",8531
"['1', '1day', 'if', 'items', 'premium', 'processing', 't']",6117
"['if', 'items', 'premium', 'processing', 'saturday']",6117
"['1', 'if', 'items', 'premium', 'processing', 'sunday']",6117
"['1', '11', 'bag', 'deliver', 'items', 'sort', 'tie']",6856
"['delivery', 'departmen', 'flat', 'pickup', 'van']",6453
"['delivery', 'departm', 'flat', 'pickup', 'truck']",3862
"['delivery', 'delivery', 'includ', 'office', 'post']",2981
"['500', 'delivery', 'delivery', 'lbs.', 'office', 'p', 'post']",2981
"['1', 'covered', 'items', 'miscellaneous', 'not', 'services', 't']",7316
"['aircraft', 'application.', 'fixed', 'serv', 'services', 'wing']",2612
